Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,max_price,min_price,Short_signal,Long_signal,Signal,Position0,Position1,Position2,abs_returns,pct_returns,pct_returns_cumsum
2022-09-09 10:30:00-04:00,156.4427947998047,156.96499633789062,156.22000122070312,156.9600067138672,8381565,0.0,0.0,156.9600067138672,153.14990234375,True,False,-1.0,-1.0,-1.0,-156.9600067138672,0.0,0.0,0.0
2022-09-13 14:30:00-04:00,155.05999755859375,155.25,154.02999877929688,154.0500030517578,13263429,0.0,0.0,163.62030029296875,154.0500030517578,False,True,1.0,1.0,1.0,154.0500030517578,-2.910003662109375,1.853977789013614,1.853977789013614
2022-09-19 14:30:00-04:00,152.9250030517578,154.28990173339844,152.74000549316406,154.13890075683594,9602700,0.0,0.0,154.13890075683594,148.76780700683594,True,False,-1.0,-1.0,-1.0,-154.13890075683594,0.0,0.0,1.853977789013614
2022-09-22 10:30:00-04:00,152.41099548339844,152.80999755859375,150.91000366210938,151.22000122070312,12456903,0.0,0.0,157.38999938964844,151.22000122070312,False,True,1.0,1.0,1.0,151.22000122070312,-2.9188995361328125,1.8936812977131352,3.747659086726749
2022-10-04 09:30:00-04:00,145.0,146.10000610351562,144.5,145.72000122070312,22873405,0.0,0.0,145.72000122070312,138.0,True,False,-1.0,-1.0,-1.0,-145.72000122070312,0.0,0.0,3.747659086726749
2022-10-07 09:30:00-04:00,142.2899932861328,143.10000610351562,141.07000732421875,141.1199951171875,18756043,0.0,0.0,146.76499938964844,141.1199951171875,False,True,1.0,1.0,1.0,141.1199951171875,-4.600006103515625,3.1567431134924258,6.904402200219175
2022-10-13 12:30:00-04:00,140.3000030517578,141.93499755859375,140.07000732421875,141.6999969482422,9554323,0.0,0.0,141.6999969482422,135.77999877929688,True,False,-1.0,-1.0,-1.0,-141.6999969482422,0.0,0.0,6.904402200219175
2022-10-27 09:30:00-04:00,148.07000732421875,149.04600524902344,145.5399932861328,147.97000122070312,20703959,0.0,0.0,152.3800048828125,147.97000122070312,False,True,1.0,1.0,1.0,147.97000122070312,6.2700042724609375,-4.424844324274149,2.4795578759450256
2022-10-28 09:30:00-04:00,149.9727020263672,155.3000030517578,149.3800048828125,154.60000610351562,49891110,0.0,0.0,154.60000610351562,144.5850067138672,True,False,-1.0,-1.0,-1.0,-154.60000610351562,0.0,0.0,2.4795578759450256
2022-11-02 09:30:00-04:00,148.94500732421875,150.60000610351562,148.6699981689453,148.99000549316406,14353549,0.0,0.0,156.7100067138672,148.99000549316406,False,True,1.0,1.0,1.0,148.99000549316406,-5.6100006103515625,3.6287195270841526,6.108277403029178
2022-11-08 10:30:00-05:00,138.4499969482422,140.30999755859375,138.38499450683594,140.2678985595703,9506478,0.0,0.0,140.2678985595703,134.85989379882812,True,False,-1.0,-1.0,-1.0,-140.2678985595703,0.0,0.0,6.108277403029178
2022-11-09 12:30:00-05:00,136.24400329589844,136.60000610351562,135.76100158691406,135.91000366210938,6132161,0.0,0.0,140.80999755859375,135.91000366210938,False,True,1.0,1.0,1.0,135.91000366210938,-4.3578948974609375,3.1068369471652026,9.21511435019438
2022-11-10 09:30:00-05:00,141.875,143.6999969482422,140.39999389648438,143.4499969482422,31213223,0.0,0.0,143.4499969482422,134.8699951171875,True,False,-1.0,-1.0,-1.0,-143.4499969482422,0.0,0.0,9.21511435019438
2022-11-21 09:30:00-05:00,150.16000366210938,150.3699951171875,148.2100067138672,148.35000610351562,14950131,0.0,0.0,151.72000122070312,148.35000610351562,False,True,1.0,1.0,1.0,148.35000610351562,4.9000091552734375,-3.415830783908205,5.799283566286174
2022-11-30 14:30:00-05:00,146.28759765625,147.10000610351562,145.64500427246094,147.0800018310547,12567179,0.0,0.0,147.0800018310547,140.53500366210938,True,False,-1.0,-1.0,-1.0,-147.0800018310547,0.0,0.0,5.799283566286174
2022-12-05 13:30:00-05:00,146.69000244140625,146.89999389648438,145.99000549316406,146.10000610351562,5656046,0.0,0.0,148.55999755859375,146.10000610351562,False,True,1.0,1.0,1.0,146.10000610351562,-0.9799957275390625,0.666301139066307,6.465584705352481
2022-12-09 10:30:00-05:00,142.42990112304688,144.64999389648438,142.3800048828125,144.58200073242188,11598826,0.0,0.0,144.58200073242188,140.19520568847656,True,False,-1.0,-1.0,-1.0,-144.58200073242188,0.0,0.0,6.465584705352481
2022-12-15 09:30:00-05:00,141.5,141.6699981689453,138.49000549316406,138.87010192871094,19310473,0.0,0.0,148.08999633789062,138.87010192871094,False,True,1.0,1.0,1.0,138.87010192871094,-5.7118988037109375,3.950629244840758,10.416213950193239
2022-12-21 09:30:00-05:00,133.65130615234375,135.0753936767578,133.10000610351562,134.88999938964844,17128912,0.0,0.0,134.88999938964844,131.0117950439453,True,False,-1.0,-1.0,-1.0,-134.88999938964844,0.0,0.0,10.416213950193239
2022-12-22 11:30:00-05:00,131.6300048828125,131.77499389648438,130.6999969482422,130.7899932861328,8015633,0.0,0.0,135.9409942626953,130.7899932861328,False,True,1.0,1.0,1.0,130.7899932861328,-4.100006103515625,3.0395182163743586,13.455732166567596
2023-01-06 11:30:00-05:00,127.25,128.47999572753906,127.01000213623047,128.32989501953125,8905736,0.0,0.0,128.32989501953125,124.56999969482422,True,False,-1.0,-1.0,-1.0,-128.32989501953125,0.0,0.0,13.455732166567596
2023-02-01 09:30:00-05:00,143.86000061035156,143.8699951171875,142.58999633789062,142.9600067138672,11912462,0.0,0.0,146.9600067138672,142.9600067138672,False,True,1.0,1.0,1.0,142.9600067138672,14.630111694335938,-11.40039247449653,2.055339692071067
2023-02-01 14:30:00-05:00,142.38999938964844,145.60000610351562,141.32000732421875,145.52999877929688,17228593,0.0,0.0,145.52999877929688,141.9600067138672,True,False,-1.0,-1.0,-1.0,-145.52999877929688,0.0,0.0,2.055339692071067
2023-02-09 14:30:00-05:00,151.9499969482422,152.19000244140625,150.88999938964844,150.97000122070312,5347497,0.0,0.0,154.63999938964844,150.97000122070312,False,True,1.0,1.0,1.0,150.97000122070312,5.44000244140625,-3.738062589869372,-1.6827228977983046
